profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename
stn_012		012	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20161228195208	uvp5	xx	2016-12-28 19:52:08	16.163835	-105.056901666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_012.tsv	export_detailed_20190304_23_14_ZOO_stn_012.tsv
stn_023		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170103134051	uvp5	xx	2017-01-03 13:40:51	20.19705	-107.262833333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_023.tsv	export_detailed_20190304_23_14_ZOO_stn_023.tsv
stn_024		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170104003729	uvp5	xx	2017-01-04 00:37:29	20.2257	-106.196516666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_024.tsv	export_detailed_20190304_23_14_ZOO_stn_024.tsv
stn_025		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170104075850	uvp5	xx	2017-01-04 07:58:50	20.2226666666667	-106.178066666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_025.tsv	export_detailed_20190304_23_14_ZOO_stn_025.tsv
stn_026		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170104135434	uvp5	xx	2017-01-04 13:54:34	20.2307166666667	-106.1805	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_026.tsv	export_detailed_20190304_23_14_ZOO_stn_026.tsv
stn_027		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170105084542	uvp5	xx	2017-01-05 08:45:42	20.2952726666667	-106.212733333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_027.tsv	export_detailed_20190304_23_14_ZOO_stn_027.tsv
stn_028		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170105145733	uvp5	xx	2017-01-05 14:57:33	20.2765333333333	-106.211183333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_028.tsv	export_detailed_20190304_23_14_ZOO_stn_028.tsv
stn_029		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170105185503	uvp5	xx	2017-01-05 18:55:03	20.28065	-106.20915	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_029.tsv	export_detailed_20190304_23_14_ZOO_stn_029.tsv
stn_030		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170106060600	uvp5	xx	2017-01-06 06:06:00	20.5305355	-106.21945	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_030.tsv	export_detailed_20190304_23_14_ZOO_stn_030.tsv
stn_032		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170108005316	uvp5	xx	2017-01-08 00:53:16	16.5128166666667	-108.386666666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_032.tsv	export_detailed_20190304_23_14_ZOO_stn_032.tsv
stn_035		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170110081924	uvp5	xx	2017-01-10 08:19:24	16.5361666666667	-107.690666666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_035.tsv	export_detailed_20190304_23_14_ZOO_stn_035.tsv
stn_036		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170110134930	uvp5	xx	2017-01-10 13:49:30	16.5405833333333	-107.655833333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_036.tsv	export_detailed_20190304_23_14_ZOO_stn_036.tsv
stn_037		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170110225843	uvp5	xx	2017-01-10 22:58:43	16.5406	-107.655	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_037.tsv	export_detailed_20190304_23_14_ZOO_stn_037.tsv
stn_038		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170111035244	uvp5	xx	2017-01-11 03:52:44	16.6147	-107.245833333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_038.tsv	export_detailed_20190304_23_14_ZOO_stn_038.tsv
stn_039		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170111135129	uvp5	xx	2017-01-11 13:51:29	16.5511833333333	-107.180833333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_039.tsv	export_detailed_20190304_23_14_ZOO_stn_039.tsv
stn_040		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170112050027	uvp5	xx	2017-01-12 05:00:27	16.5777333333333	-107.181	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_040.tsv	export_detailed_20190304_23_14_ZOO_stn_040.tsv
stn_041		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170112135325	uvp5	xx	2017-01-12 13:53:25	16.5779666666667	-106.9739	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_041.tsv	export_detailed_20190304_23_14_ZOO_stn_041.tsv
stn_042		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170112185507	uvp5	xx	2017-01-12 18:55:07	16.5672333333333	-106.970416666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_042.tsv	export_detailed_20190304_23_14_ZOO_stn_042.tsv
stn_043		016	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170113115131	uvp5	xx	2017-01-13 11:51:31	16.5896166666667	-106.922883333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_043.tsv	export_detailed_20190304_23_14_ZOO_stn_043.tsv
stn_sb1		017	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20161231201317	uvp5	xx	2016-12-31 20:13:17	22.0163333333333	-105.770766666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_sb1.tsv	export_detailed_20190304_23_14_ZOO_stn_sb1.tsv
stn_sb3		017	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20161231203557	uvp5	xx	2016-12-31 20:35:57	22.0163333333333	-105.770766666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_sb3.tsv	export_detailed_20190304_23_14_ZOO_stn_sb3.tsv
